"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: inputFile","Param: nbRows","Param: quoted"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,20.44505014493219,0.08399927065693848,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,19.54911081980049,0.14805784240023742,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,41.475885849578496,0.14861971008650912,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,34.00126967038316,0.0778936066441337,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,252.0657073884894,0.2253433021195717,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,178.2652479010895,0.21986132196641556,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,2394.0023845294336,11.431797608020085,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,1776.8143189686466,5.620789908075817,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,24301.239938714974,45.416561036505236,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,16965.22444151048,25.396292981150776,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,243768.893532,1085.8300982893757,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,171643.2571657143,813.0537229874486,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,2394282.7876999993,6912.7096650210315,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.CommonsCsvParser.parseFile","avgt",1,50,1655476.0830800005,4582.631488761376,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,22.359630334209328,0.1681710898385334,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,21.91891681135038,0.08552500012955222,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,35.592335872447016,0.14444444420009514,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,33.60805736099239,0.187047520142708,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,170.60554415955914,0.19769231412631677,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,149.59484863751987,0.3649064027408543,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,2397.8722150397607,3.187749326828136,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,2068.391919236443,2.7042476470392605,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,17205.275617902305,103.35241635273171,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,14755.177738810531,20.27199527411167,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,173803.76363428566,427.5415830512612,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,149049.59749749998,230.96171618068163,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,1668693.62674,9193.264661607715,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.GenJavaParser.parseFile","avgt",1,50,1443081.3396199998,3785.7280364020485,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,27.2920488506289,0.15859357182187037,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,26.855914917744684,0.15524514215309262,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,38.52656926341986,0.18720183121787723,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,34.233367121555055,0.146186925366577,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,152.00240418709032,0.6297246584475392,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,110.3380166616422,0.5361229623144308,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,1370.4340394621117,12.72189750401652,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,1013.4966107141945,10.697179073684627,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,13296.359320646665,105.2232709082699,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,9549.566784349585,27.043162602780367,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,136204.5255163889,713.2313574531366,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,96179.65453666667,106.97617722440201,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,1313648.6669,7846.067242904721,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.JCsvParser.parseFile","avgt",1,50,934221.5503100002,557.1786847714549,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,25.724968637452072,0.1444857591370147,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,25.652069059159743,0.18041796349699885,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,36.83863477797581,0.26669187711798586,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,34.04713176874843,0.10395669729027554,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,156.4337418634629,0.9852014645547357,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,117.82427752452737,0.23651192592511425,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,1456.7001758338372,10.691092726741191,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,942.1987236586538,1.6702004675271767,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,14123.738557155119,49.76522891557011,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,9633.721815212222,26.708222957091397,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,140774.04686000003,496.2958172974561,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,96131.99249333334,326.53107348322277,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,1385303.5109400002,5153.833486424212,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.JacksonParser.parseFile","avgt",1,50,941079.51333,2231.9477479946445,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,33.58912091235062,0.343745147491663,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,33.444414587695015,0.4020920075493178,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,48.462499182773755,0.5267654811979644,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,46.504709635422934,0.554147461694204,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,198.23269230989825,1.4856971287314769,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,178.28976208809922,1.277155272266094,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,1880.0411847689084,4.888404784532004,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,1597.5846945067124,7.815329243592553,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,17715.644031003587,36.310844255627174,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,15535.73339532898,66.84708477048324,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,177225.7077228572,557.5065492449612,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,151839.37922250005,459.07370832559064,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,1754992.6018200004,13965.83792699806,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.JavaCsvParser.parseFile","avgt",1,50,1525301.522960001,9669.135104131874,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,27.16025531764735,0.11485907400599966,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,27.150914447318087,0.14999146419737716,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,42.20892329518207,0.18738160321908562,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,38.74770912096746,0.16270522530201956,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,182.6485710111212,1.07878971964423,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,167.86794067306695,1.4061210400925084,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,2064.2035876678947,35.58671535461147,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,1542.0451508223987,66.09357928925576,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,20607.50535799694,252.00175950637282,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,14845.509473395354,728.7923783917875,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,206673.93614999994,3393.823747201103,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,141029.9178552778,2757.6572044385744,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,2013977.8529599998,23886.99385834443,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.OpenCsvParser.parseFile","avgt",1,50,1471916.7781800004,64901.27975761881,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,28.876766828971853,0.09023992766605829,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,28.69023718673757,0.12471163776416393,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,44.743186694935346,0.16636662831156732,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,38.38933976899641,0.1397430730398122,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,201.0533985594258,0.3856507016360466,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,149.46554647815393,0.899663331862973,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,1718.7547138138723,5.4985612802061405,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,1262.9604929806615,7.248827554055031,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,17437.75035283234,57.07876128121826,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,11971.974354635342,29.189006674110026,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,167778.90310571433,480.75662407186564,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,122210.20284155557,477.5003677910857,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,1659185.2655799997,11462.668155050422,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.OsterMillerParser.parseFile","avgt",1,50,1213505.52504,11324.543710165028,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,22.80619603226276,0.09254261104608605,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,22.161770472865147,0.1171134798965834,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,40.675764189071614,0.14854778949973488,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,35.36497524306985,0.20806313005731294,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,211.3284258094808,2.4530061161289254,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,172.72526721934938,0.5388159245040665,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,2190.5145319626054,9.032475523012993,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,1411.7917311234457,6.174239201877583,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,20213.324298978827,114.60756834753992,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,17292.164976618995,187.48648998421677,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,202389.34631999992,1136.7863163965192,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,160850.71925142859,1543.13663632593,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,1995381.72958,10984.610361089333,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.SimpleCsvParser.parseFile","avgt",1,50,1589454.35634,17186.059030403216,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,26.14732144940591,0.14094301922905367,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,25.71207638650645,0.17975356229728792,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,36.94788555032076,0.2152092448988609,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,33.21509052371207,0.22235939013693756,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,137.06919164067668,0.9858353111268575,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,107.86422689955906,0.1361786852027187,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,1564.9554390368407,5.510497560660164,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,1122.3717309032963,12.505232188542482,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,12173.629279979865,173.35790859466476,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,8917.442488471435,419.3755048935793,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,124778.55946811111,2096.607085769663,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,85367.84974164837,148.35525438714754,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,1187623.72214,23723.12278777959,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.SimpleFlatMapperParser.parseFile","avgt",1,50,838419.63006,6157.721171613396,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,27.643543077986177,0.12423179548568199,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,27.660231399763585,0.1282746631519529,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,42.16290087848155,0.1998607563214713,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,39.20776264935441,0.4056945943486157,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,173.5750557955664,0.3312845312626868,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,158.01171836279124,3.3692618444942903,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1804.1688160889646,28.781260796913102,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1646.3492742882163,14.849213399434392,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,16104.011408843568,194.97843432411565,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,15942.44274250103,53.58873665014404,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,160612.80359785716,2018.3895628385558,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,133668.19345916668,1074.8805970205653,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1582857.26686,28832.63937773011,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.SuperCsvParser.parseFile","avgt",1,50,1300374.39832,19936.381390572464,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4521.076961461011,20.538162362075436,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4487.971562204996,20.361016029598794,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4485.186461454133,16.584378908171907,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4497.06686416688,20.581284294764085,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4598.652033821365,21.307324935058457,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,4625.426536540839,22.726943058708063,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,6035.136162571824,30.026975133265452,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,5941.804557810981,31.70108760597142,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,20257.900437212127,104.41983638633492,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,18479.398971595263,91.20193019190526,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,154483.1551482143,1428.618083383978,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,142321.38058027776,9039.024022158832,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,1577764.15028,4522.313500579586,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.UnivocityParser.parseFile","avgt",1,50,1339304.1170400002,62490.00851461249,"us/op","./worldcitiespop.txt","1000000","false"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,34.339758098226014,0.20495113981188132,"us/op","./worldcitiespop.txt","1","true"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,34.02591590077724,0.08982491671921655,"us/op","./worldcitiespop.txt","1","false"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,55.08871539335483,0.14992895490550012,"us/op","./worldcitiespop.txt","10","true"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,49.09037189142886,0.23775347357546459,"us/op","./worldcitiespop.txt","10","false"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,237.9544454544959,1.048948546348181,"us/op","./worldcitiespop.txt","100","true"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,217.27142058648212,1.3510191395883309,"us/op","./worldcitiespop.txt","100","false"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,2561.4243268137284,27.175953432227068,"us/op","./worldcitiespop.txt","1000","true"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,2014.6189037038585,54.396145773845475,"us/op","./worldcitiespop.txt","1000","false"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,24649.010118439095,235.73832331373603,"us/op","./worldcitiespop.txt","10000","true"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,19692.54109314344,475.4212805333501,"us/op","./worldcitiespop.txt","10000","false"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,242586.09374399998,4091.508750923056,"us/op","./worldcitiespop.txt","100000","true"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,189771.96839714286,5586.728663639258,"us/op","./worldcitiespop.txt","100000","false"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,2365420.69532,48007.005083475764,"us/op","./worldcitiespop.txt","1000000","true"
"com.univocity.articles.jmh.WayIoParser.parseFile","avgt",1,50,1766877.1786199992,13498.203775121443,"us/op","./worldcitiespop.txt","1000000","false"
